"Início dos relatórios","Encerramento dos relatórios","Nome da campanha","Veiculação da campanha","Configuração de atribuição",Resultados,"Indicador de resultados",Alcance,Frequência,"Custo por resultados","Orçamento do conjunto de anúncios","Tipo de orçamento do conjunto de anúncios","Valor usado (BRL)",Término,Impressões,"CPM (custo por 1.000 impressões) (BRL)","Cliques no link",shop_clicks,"CPC (custo por clique no link) (BRL)","CTR (taxa de cliques no link)","Cliques (todos)","CTR (todos)","CPC (todos) (BRL)","Visualizações da página de destino","Custo por visualização da página de destino (BRL)"
2026-04-01,2026-04-30,"Post do Instagram: ""Você entrou na farmácia para...",completed,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,48,Total,0,2026-03-06,0,0,,,,,0,0,0,,
2026-04-01,2026-04-30,"Post do Instagram: “A Drogasil não quebra...",completed,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,39,Total,0,2026-03-09,0,0,,,,,0,0,0,,
2026-04-01,2026-04-30,"Post do Instagram: 💊 A verdade que ninguém fala...",completed,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,96,Total,0,2026-03-13,0,0,,,,,0,0,0,,
2026-04-01,2026-04-30,"Post do Instagram: *Talvez você não esteja...",completed,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,87,Total,0,2026-03-19,0,0,,,,,0,0,0,,
2026-04-01,2026-04-30,"Post do Instagram: 💊 A verdade que ninguém fala...",completed,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,96,Total,0,2026-03-25,0,0,,,,,0,0,0,,
2026-04-01,2026-04-30,"Post do Instagram: Farmácia quebra com estoque...",completed,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,40,Total,0,2026-03-25,0,0,,,,,0,0,0,,
2026-04-01,2026-04-30,"Post do Instagram: Você não tem problema de...",completed,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,64,Total,0,2026-03-27,0,0,,,,,0,0,0,,
2026-04-01,2026-04-30,"Post do Instagram: Sua drogaria não precisa de...",completed,"Clique de 7 dias ou visualização de 1 dia",,,0,0,,64,Total,0,2026-03-28,0,0,,,,,0,0,0,,
2026-04-01,2026-04-30,"Post do Instagram: 🚨 Supermercados agora vendem...",completed,"Clique de 7 dias ou visualização de 1 dia",3,actions:onsite_conversion.messaging_conversation_started_7d,146,1.328767,1.52666667,68,Total,4.58,2026-04-01,194,23.608247,2,,2.29,1.030928,2,1.030928,2.29,,
2026-04-01,2026-04-30,"Post do Instagram: 🚨 Muitas drogarias vão quebrar...",completed,—,1,actions:onsite_conversion.messaging_conversation_started_7d,247,1.137652,7.88,42,Total,7.88,2026-04-01,281,28.042705,2,,3.94,0.711744,2,0.711744,3.94,,
2026-04-01,2026-04-30,"Post do Instagram: 🚨 *Trabalhar 12h por dia não...",completed,"Clique de 7 dias ou visualização de 1 dia",5,actions:onsite_conversion.messaging_conversation_started_7d,1472,1.704484,16.29,102,Total,81.45,2026-04-03,2509,32.463133,13,,6.265385,0.518135,32,1.275409,2.545313,,
2026-04-01,2026-04-30,"Post do Instagram: O lucro da sua drogaria está...",completed,"Clique de 7 dias ou visualização de 1 dia",3,actions:onsite_conversion.messaging_conversation_started_7d,2155,1.54942,17.15,52,Total,51.45,2026-04-09,3339,15.408805,13,,3.957692,0.389338,27,0.808625,1.905556,,
2026-04-01,2026-04-30,"Post do Instagram: 🚨 Sua drogaria está ""batendo""...",recently_completed,"Clique de 7 dias ou visualização de 1 dia",3,actions:onsite_conversion.messaging_conversation_started_7d,1366,1.972914,29.71,90,Total,89.13,2026-04-25,2695,33.072356,4,,22.2825,0.148423,17,0.630798,5.242941,,
